patch,release_date,generation,is_major,main_scenario_quests,side_quests,dungeons,trials_normal,trials_extreme,raid_tiers_normal,raid_tiers_savage,ultimate,alliance_raid,large_field_content,new_job,new_race,pvp_update,housing,graphics_update,other_major,minor_patches,minor_msq,minor_dungeons,minor_trials_normal,minor_trials_extreme,minor_raid_normal,minor_raid_savage,minor_ultimate,minor_large_field,minor_patch_content,source_grade
6.0,2021-12-07,6.x,1,108,,8,3,2,0,0,0,0,,2,1,0,1,0,Lv90/ステータススカッシュ/ベルト廃止/新住宅街エンピレアム/コンテンツサポーター,6.01/6.05/6.08,0,0,0,0,4,4,0,0,6.01 万魔殿パンデモニウム:辺獄編(4層)/6.05 同零式(4層),B
6.1,2022-04-12,6.x,1,10,,1,0,1,0,0,0,1,,0,0,1,1,0,クリスタルコンフリクト実装(PvP全面刷新)/ハウジング抽選制/新生ID コンテンツサポーター対応/冒険者小隊,6.11/6.15/6.18,0,0,0,0,0,0,1,0,6.11 絶竜詩戦争(絶#1),B
6.2,2022-08-23,6.x,1,9,2,1,1,1,4,0,0,0,無人島開拓（アイランドサンクチュアリ）,0,0,0,0,0,幻セフィロト/タタルの大繁盛商店/ミラプリ枠800,6.21/6.25/6.28,0,0,0,0,0,4,0,0,6.21 煉獄編零式(4層)/6.25 ヴァリアント&アナザーダンジョン シラディハ水道(新コンテンツ種別)+マンダヴィルウェポン+オミクロン族,A
6.3,2023-01-10,6.x,1,9,4,1,1,1,0,0,0,1,,0,0,1,1,0,コンテンツサポーター6ID追加/幻タイタン/無人島アップデート,6.31/6.35/6.38,0,0,0,0,0,0,1,0,6.31 絶オメガ検証戦(絶#2),B
6.4,2023-05-23,6.x,1,9,,1,1,1,4,0,0,0,,0,0,0,0,0,紅蓮ID コンテンツサポーター対応/無人島アップデート/オーシャンフィッシング新航路,6.41/6.45/6.48,0,0,0,0,0,4,0,0,6.41 天獄編零式(4層)/6.45 マンダヴィルウェポン,B
6.5,2023-10-03,6.x,1,7,,1,1,1,0,0,0,1,,0,0,0,0,0,前後編分割(Part1)。幻ナイツ・オブ・ラウンド/無人島アップデート/フリートライアル紅蓮まで拡大,6.51/6.55/6.57/6.58,3,0,1,0,0,0,0,0,6.51 ヴァリアント&アナザー アロアロ島+モーエンツール+PvP新ステージ/6.55 MSQ Part2(3)+アスラ討滅戦,A
7.0,2024-07-02,7.x,1,100,,8,3,2,0,0,0,0,,2,1,0,0,1,グラフィックスアップデート(全面)/Lv100/2色染色/フェイスウェア枠/コンテンツサポーター全MSQ対応,7.01/7.05/7.07,0,0,0,0,4,4,0,0,7.01 至天の座アルカディア:ライトヘビー級(4層)/7.05 同零式(4層),B
7.1,2024-11-12,7.x,1,7,,1,0,1,0,0,0,1,,0,0,0,1,0,つよくてニューゲーム7.0対応/装備投影(アウトフィット)/非MSQ IDのコンテンツサポーター対応,7.11/7.15/7.16/7.18,0,0,0,0,0,0,1,0,7.11 絶オーボンヌ討滅戦(絶#1)/7.15 万魔の暗黒神(カオティック)実装(新難易度種別),B
7.2,2025-03-25,7.x,1,8,1,1,1,1,4,0,0,0,,0,0,0,0,0,幻朱雀/数学詩学/戦闘中の薬・食事キュー,7.21/7.25,0,0,0,0,0,4,0,2,7.21 コスモエクスプローラー(大規模フィールド新設)+クルーザー級零式(4層)/7.25 蜃気楼の島クレセントアイル 南征編(大規模フィールド新設)+ファントムウェポン+マムージャ族,A
7.3,2025-08-05,7.x,1,10,,1,1,1,0,0,0,1,,0,0,1,0,0,チャットバブル/宝物庫ボルト・オネイロン/幻青龍/クリコン上位階級追加,7.31/7.35,0,0,0,0,0,0,1,0,7.31 絶ダンシングマッド(絶#2)+コスモ新星パエンナ+ファントムウェポン/7.35 ディープダンジョン ピルグリム・トラバース(新規DD)+ヨカフイ族+MHWコラボ,A
7.4,2025-12-16,7.x,1,9,,1,1,1,4,0,0,0,オカルトクレセント拡張（サポートジョブ追加）,0,0,1,0,0,ストラテジーボード(作戦盤)/クイックパネル/ミラプリ職業制限撤廃/幻ツクヨミ/G.A.T.E.追加,7.41/7.45,0,0,0,0,0,4,0,1,7.41 ヘビー級零式(4層)+コスモ新星オイジュス+ファントムウェポン/7.45 ヴァリアントダンジョン商客物語+ヒルディブランド,A
7.5,2026-04-28,7.x,1,5,3,1,1,1,0,0,0,1,,0,0,0,1,0,前後編分割(Part1)。幻神龍/オーシャンフィッシング新航路/染料統合/フリートライアル漆黒まで拡大,7.51/7.55/7.56,0,0,0,0,0,0,1,1,7.51 絶妖星乱舞(絶#3)+コスモ新星アウクセシア/7.55 クレセントアイル北征編+ファントムウェポン/7.56 魔獣使い(新リミテッドジョブ),A
