company,title,fiscal_quarter,revenue_krw_bn,source,confidence
NCSoft,Aion,CY2025Q4_restated,7.798,primary:NC IR Presentation May 2026,high
NCSoft,Aion,CY2026Q1,8.706,primary:NC IR Presentation May 2026,high
NCSoft,Aion 2,CY2025Q4,77.361,primary:NCSOFT 4Q25 Earnings Release PDF & NC IR May 2026 (gross billings 94.1bn),high
NCSoft,Aion 2,CY2026Q1,136.751,primary:NC IR Presentation May 2026,high
# --- 年次（通期）。2016-2020は韓国メディアが NCSoft IR を引用（二次） ---
NCSoft,Lineage,CY2016,375.5,secondary:Inven 2017-02 (NCSoft IR引用) 3755억원,medium
NCSoft,Lineage II,CY2016,77.1,secondary:Inven 2017-02 771억원,medium
NCSoft,Aion,CY2016,71.7,secondary:Inven 2017-02 717억원,medium
NCSoft,Guild Wars 2,CY2016,76.6,secondary:Inven 2017-02 766억원,medium
NCSoft,Lineage,CY2017,154.4,secondary:Herald Biz 2018-02 1544억원,medium
NCSoft,Lineage II,CY2017,65.8,secondary:Herald Biz 2018-02 658억원,medium
NCSoft,Aion,CY2017,47.0,secondary:Herald Biz 2018-02 470억원,medium
NCSoft,Guild Wars 2,CY2017,82.8,secondary:Herald Biz 2018-02 828억원,medium
NCSoft,Lineage,CY2018,149.7,secondary:ZDNet Korea 2019-02-12 1497억원,medium
NCSoft,Lineage II,CY2018,63.9,secondary:ZDNet Korea 2019-02-12 639억원,medium
NCSoft,Aion,CY2018,63.4,secondary:ZDNet Korea 2019-02-12 634억원,medium
NCSoft,Guild Wars 2,CY2018,80.2,secondary:ZDNet Korea 2019-02-12 802억원,medium
NCSoft,Lineage,CY2019,174.1,secondary:Gamemeca 2020-02 1741억원,medium
NCSoft,Lineage II,CY2019,93.6,secondary:Gamemeca 2020-02 936억원,medium
NCSoft,Aion,CY2019,46.0,secondary:Gamemeca 2020-02 460억원,medium
NCSoft,Guild Wars 2,CY2019,58.7,secondary:Gamemeca 2020-02 587억원,medium
NCSoft,Lineage,CY2020,175.7,secondary:ZDNet Korea 2021-02-05 / SEN TV 1757억원,medium
NCSoft,Lineage II,CY2020,104.5,secondary:ZDNet Korea 2021-02-05 1045억원,medium
NCSoft,Aion,CY2020,45.6,secondary:ZDNet Korea 2021-02-05 456억원,medium
NCSoft,Guild Wars 2,CY2020,61.2,secondary:ZDNet Korea 2021-02-05 612억원,medium
NCSoft,Lineage,CY2021,,NOT_OBTAINED,none
NCSoft,Lineage II,CY2021,,NOT_OBTAINED,none
NCSoft,Aion,CY2021,,NOT_OBTAINED,none
NCSoft,Guild Wars 2,CY2021,,NOT_OBTAINED,none
NCSoft,Lineage,CY2022,106.714,primary:NCSOFT IR Presentation Aug 2025 (yearly by title) / cross-checked Dealsite 2023-02,high
NCSoft,Lineage II,CY2022,94.057,primary:NCSOFT IR Presentation Aug 2025 / Dealsite 941억,high
NCSoft,Aion,CY2022,68.292,primary:NCSOFT IR Presentation Aug 2025 / Dealsite 683억,high
NCSoft,Guild Wars 2,CY2022,94.973,primary:NCSOFT IR Presentation Aug 2025 / Dealsite 950억,high
NCSoft,Lineage,CY2023,96.546,primary:NCSOFT IR Presentation Aug 2025,high
NCSoft,Lineage II,CY2023,87.278,primary:NCSOFT IR Presentation Aug 2025,high
NCSoft,Aion,CY2023,67.893,primary:NCSOFT IR Presentation Aug 2025,high
NCSoft,Guild Wars 2,CY2023,84.527,primary:NCSOFT IR Presentation Aug 2025 (=四半期合計と一致),high
NCSoft,Lineage,CY2024,98.202,primary:NCSOFT IR Presentation Aug 2025,high
NCSoft,Lineage II,CY2024,85.466,primary:NCSOFT IR Presentation Aug 2025,high
NCSoft,Aion,CY2024,50.385,primary:NCSOFT IR Presentation Aug 2025,high
NCSoft,Guild Wars 2,CY2024,92.586,primary:NCSOFT IR Presentation Aug 2025,high
NCSoft,Lineage,CY2025,100.918,primary:NC IR Presentation May 2026 (restated basis),high
NCSoft,Lineage II,CY2025,115.867,primary:NC IR Presentation May 2026 (restated basis),high
NCSoft,Aion,CY2025,48.083,primary:NC IR Presentation May 2026 (restated basis),high
NCSoft,Guild Wars 2,CY2025,85.612,primary:NC IR Presentation May 2026 (restated basis),high
NCSoft,Aion 2,CY2025,77.361,primary:NC IR Presentation May 2026,high
# --- WildStar（大半が未取得） ---
NCSoft,WildStar,CY2016Q1,1.282,secondary:MMO Fallout (NCsoft IR "1282 KRW MN"引用),medium
NCSoft,WildStar,CY2016Q2,2.2,secondary:MMORPG.com forum thread quoting NCsoft IR (2.2 billion KRW),low
NCSoft,WildStar,CY2016Q3,,NOT_OBTAINED (MMO Fallout reports approx USD 940k only),none
NCSoft,WildStar,CY2016Q4_onward,,NOT_DISCLOSED: NCsoft folded WildStar into "other sales" from 4Q2016 (Massively OP 2017-02-07),none
