period,basis,usdjpy_avg,eurjpy_avg,source,confidence
FY2021.3-Q3,fiscal_quarter,104.51,124.54,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2021.3-Q4,fiscal_quarter,105.91,127.69,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2022.3-Q1,fiscal_quarter,109.5,131.96,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2022.3-Q2,fiscal_quarter,110.11,129.85,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2022.3-Q3,fiscal_quarter,113.72,130.08,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2022.3-Q4,fiscal_quarter,116.21,130.41,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2023.3-Q1,fiscal_quarter,129.58,138.12,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2023.3-Q2,fiscal_quarter,138.39,139.36,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2023.3-Q3,fiscal_quarter,141.65,144.38,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2023.3-Q4,fiscal_quarter,132.31,142.07,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2024.3-Q1,fiscal_quarter,137.37,149.48,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2024.3-Q2,fiscal_quarter,144.63,157.31,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2024.3-Q3,fiscal_quarter,147.9,159.12,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2024.3-Q4,fiscal_quarter,148.6,161.31,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2025.3-Q1,fiscal_quarter,155.89,167.89,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2025.3-Q2,fiscal_quarter,149.37,164.0,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2025.3-Q3,fiscal_quarter,152.44,162.59,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2025.3-Q4,fiscal_quarter,152.6,160.51,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2026.3-Q1,fiscal_quarter,144.6,163.82,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2026.3-Q2,fiscal_quarter,147.48,172.32,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2026.3-Q3,fiscal_quarter,154.16,179.4,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2026.3-Q4,fiscal_quarter,156.86,183.65,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
FY2027.3-Q1,fiscal_quarter,159.5,185.4,SMBC第一次公表仲値(TTM)月中平均を算術平均。MUFG(MURC)月中平均と一致を確認,high
