date_start,date_end,title,category,game,source,confidence,note
2018-06-05,,"パッチ4.31",major_patch,FFXIV,"eorzean.info",中,"JST"
2018-07-03,,"パッチ4.35",major_patch,FFXIV,"eorzean.info",中,"JST"
2018-08-07,,"パッチ4.36",major_patch,FFXIV,"eorzean.info",中,"JST"
2018-09-18,,"パッチ4.4 狂乱の前奏曲",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2018-10-02,,"パッチ4.41",major_patch,FFXIV,"eorzean.info",中,"JST"
2018-11-06,,"パッチ4.45",major_patch,FFXIV,"eorzean.info",中,"JST"
2019-01-08,,"パッチ4.5 英雄への鎮魂歌",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2019-02-12,,"パッチ4.55",major_patch,FFXIV,"eorzean.info",中,"JST"
2019-03-26,,"パッチ4.56",major_patch,FFXIV,"eorzean.info",中,"JST"
2019-04-23,,"パッチ4.57（ワールド間テレポ実装）",major_patch,FFXIV,"eorzean.info／Lucky Bancho DC史",中,"JST"
2019-05-14,,"パッチ4.58",major_patch,FFXIV,"eorzean.info",中,"JST"
2019-07-02,,"パッチ5.0 漆黒のヴィランズ",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2019-07-16,,"パッチ5.01",major_patch,FFXIV,"eorzean.info",中,"JST"
2019-07-30,,"パッチ5.05",major_patch,FFXIV,"eorzean.info",中,"JST"
2019-08-29,,"パッチ5.08",major_patch,FFXIV,"eorzean.info",中,"JST"
2019-10-29,,"パッチ5.1 白き誓約、黒き密約",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2019-11-12,,"パッチ5.11",major_patch,FFXIV,"eorzean.info",中,"JST"
2019-12-10,,"パッチ5.15",major_patch,FFXIV,"eorzean.info",中,"JST"
2019-12-24,,"パッチ5.18",major_patch,FFXIV,"eorzean.info",中,"JST"
2020-02-18,,"パッチ5.2 追憶の彼方へ",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2020-03-10,,"パッチ5.21",major_patch,FFXIV,"eorzean.info",中,"JST"
2020-04-07,,"パッチ5.25",major_patch,FFXIV,"eorzean.info／GAME Watch",中,"JST 4/7。英語版wikiは4/6表記（現地時間基準）"
2020-08-11,,"パッチ5.3 クリスタルの残光",major_patch,FFXIV,"Famitsu／Game*Spark 2020-08-11",高,"JST。フリートライアル拡大と同日"
2020-09-08,,"パッチ5.31",major_patch,FFXIV,"eorzean.info",中,"JST"
2020-10-13,,"パッチ5.35",major_patch,FFXIV,"eorzean.info",中,"JST"
2020-12-08,,"パッチ5.4 もう一つの未来",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2021-01-12,,"パッチ5.41",major_patch,FFXIV,"eorzean.info",中,"JST"
2021-02-02,,"パッチ5.45",major_patch,FFXIV,"eorzean.info",中,"JST"
2021-04-13,,"パッチ5.5 黎明の死闘",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST。PS5版オープンベータ開始と同日"
2021-05-25,,"パッチ5.55（PS5版正式サービス開始）",major_patch,FFXIV,"eorzean.info",中,"JST"
2021-06-22,,"パッチ5.57",major_patch,FFXIV,"eorzean.info",中,"JST"
2021-07-20,,"パッチ5.58",major_patch,FFXIV,"eorzean.info",中,"JST"
2021-12-07,,"パッチ6.0 暁月のフィナーレ",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2021-12-21,,"パッチ6.01",major_patch,FFXIV,"eorzean.info",中,"JST"
2022-01-04,,"パッチ6.05",major_patch,FFXIV,"eorzean.info",中,"JST"
2022-01-25,,"パッチ6.08",major_patch,FFXIV,"eorzean.info",中,"JST"
2022-04-12,,"パッチ6.1 新たなる冒険",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2022-04-26,,"パッチ6.11",major_patch,FFXIV,"eorzean.info",中,"JST"
2022-05-24,,"パッチ6.11a",major_patch,FFXIV,"eorzean.info",中,"JST"
2022-06-07,,"パッチ6.15",major_patch,FFXIV,"eorzean.info",中,"JST"
2022-07-05,,"パッチ6.18（DCトラベル解禁・日本DC再編）",major_patch,FFXIV,"Famitsu 2022-07-05 https://www.famitsu.com/news/202207/05267454.html",高,"JST"
2022-08-23,,"パッチ6.2 幾星霜の思装",major_patch,FFXIV,"eorzean.info／consolegameswiki",高,"JST"
2022-09-13,,"パッチ6.21",major_patch,FFXIV,"eorzean.info",中,"JST"
2022-10-18,,"パッチ6.25",major_patch,FFXIV,"eorzean.info",中,"JST"
2022-11-01,,"パッチ6.28",major_patch,FFXIV,"eorzean.info",中,"JST。北米Dynamis DC追加と同日"
2023-01-10,,"パッチ6.3 天の祝祭、地の鳴動",major_patch,FFXIV,"Famitsu 2022-12-24 https://www.famitsu.com/news/202212/24287778.html",高,"JST"
2023-01-24,,"パッチ6.31",major_patch,FFXIV,"eorzean.info",中,"JST"
2023-03-07,,"パッチ6.35",major_patch,FFXIV,"eorzean.info",中,"JST"
2023-04-04,,"パッチ6.38",major_patch,FFXIV,"consolegameswiki（4 April 2023表記の確認要）",低,"要確認。英語版wikiは2023-04-03。JSTでは翌日の可能性"
2023-05-23,,"パッチ6.4 光明の剣",major_patch,FFXIV,"consolegameswiki Patches",中,"JST想定。ja.Wikipediaの抽出では5/19と出たが火曜日と合わず矛盾。日付・パッチ名とも要再確認"
2023-06-20,,"パッチ6.41",major_patch,FFXIV,"consolegameswiki（19 June 2023）",低,"要確認。JSTでは翌日の可能性"
2023-07-18,,"パッチ6.45",major_patch,FFXIV,"consolegameswiki（17 July 2023）",低,"要確認。JSTでは翌日の可能性"
2023-08-08,,"パッチ6.48",major_patch,FFXIV,"consolegameswiki（7 Aug 2023）",低,"要確認。JSTでは翌日の可能性"
2023-10-03,,"パッチ6.5 光明の起点",major_patch,FFXIV,"Famitsu 2023-10-03 https://www.famitsu.com/news/202310/03319410.html",高,"JST。フリートライアル拡大と同日"
2023-10-31,,"パッチ6.51",major_patch,FFXIV,"consolegameswiki（30 Oct 2023）",低,"要確認。JSTでは翌日の可能性"
2024-01-16,,"パッチ6.55",major_patch,FFXIV,"consolegameswiki／gamebiz 2024-02-01記事で「公開中」",中,"JST想定。要確認"
2024-02-13,,"パッチ6.57",major_patch,FFXIV,"consolegameswiki（12 Feb 2024）",低,"要確認。JSTでは翌日の可能性"
2024-03-19,,"パッチ6.58",major_patch,FFXIV,"consolegameswiki",中,"JST想定。要確認"
2024-07-02,,"パッチ7.0 黄金のレガシー",major_patch,FFXIV,"公式ニュース／consolegameswiki",高,"JST"
2024-07-16,,"パッチ7.01",major_patch,FFXIV,"consolegameswiki",中,"要確認"
2024-07-30,,"パッチ7.05",major_patch,FFXIV,"consolegameswiki",中,"要確認"
2024-11-12,,"パッチ7.1 クリスタルの追憶",major_patch,FFXIV,"consolegameswiki",高,"JST（火曜日）"
2024-11-26,,"パッチ7.11",major_patch,FFXIV,"consolegameswiki",中,"要確認"
2024-12-17,,"パッチ7.15",major_patch,FFXIV,"consolegameswiki",中,"要確認"
2025-01-21,,"パッチ7.16",major_patch,FFXIV,"consolegameswiki",中,"要確認"
2025-02-25,,"パッチ7.18",major_patch,FFXIV,"consolegameswiki",中,"要確認"
2025-03-25,,"パッチ7.2 永久の探求者",major_patch,FFXIV,"公式ニュース https://jp.finalfantasy.com/news/5474",高,"JST"
2025-04-22,,"パッチ7.21",major_patch,FFXIV,"consolegameswiki",中,"要確認"
2025-05-27,,"パッチ7.25",major_patch,FFXIV,"consolegameswiki",中,"要確認"
2025-08-05,,"パッチ7.3",major_patch,FFXIV,"電撃オンライン 2025-07 https://dengekionline.com/article/202507/48100",高,"JST。パッチ名は未確認のため記載せず"
2025-09-02,,"パッチ7.31",major_patch,FFXIV,"consolegameswiki",中,"要確認"
2025-10-07,,"パッチ7.35",major_patch,FFXIV,"consolegameswiki",中,"要確認"
2025-11-11,,"パッチ7.38",major_patch,FFXIV,"consolegameswiki",中,"要確認"
2025-12-16,,"パッチ7.4 霧の中の理想郷",major_patch,FFXIV,"consolegameswiki／Lodestone 7.4パッチノート",中,"JST想定。公式一次ソースでの日付確定は要確認"
2026-01-27,,"パッチ7.41",major_patch,FFXIV,"consolegameswiki",中,"要確認"
2026-03-03,,"パッチ7.45",major_patch,FFXIV,"電撃オンライン 2026-02 https://dengekionline.com/article/202602/67073",高,"JST"
2026-04-28,,"パッチ7.5 彼方に至る路",major_patch,FFXIV,"公式ニュース https://jp.finalfantasy.com/news/5939",高,"JST。フリートライアル拡大と同日"
2026-06-02,,"パッチ7.51",major_patch,FFXIV,"GAME Watch 2026-04-25 https://game.watch.impress.co.jp/docs/news/2104698.html",高,"JST"
2026-07-28,,"パッチ7.55",major_patch,FFXIV,"公式ニュース https://jp.finalfantasy.com/news/6102",高,"JST"
2026-09-08,,"パッチ7.56（公開予定）",major_patch,FFXIV,"GAME Watch 2026-04-25 https://game.watch.impress.co.jp/docs/news/2104698.html",中,"予定日。分析窓（〜2026-07-20）外"
2017-03-28,,"フリートライアル 期間制限撤廃（無期限化・Lv35・新生エオルゼアまで）",free_trial_change,FFXIV,"電撃オンライン 2017-03-28 https://dengekionline.com/elem/000/001/493/1493100/ ／4Gamer同日",高,"パッチ3.56と同日。分析窓（2017-06-06〜）の直前"
2020-08-11,,"フリートライアル拡大：蒼天のイシュガルドまで／Lv60",free_trial_change,FFXIV,"Famitsu 2020-08-11／PlayStation.Blog JP 2020-07-23",高,"パッチ5.3と同日"
2023-10-03,,"フリートライアル拡大：紅蓮のリベレーターまで／Lv70",free_trial_change,FFXIV,"Famitsu 2023-10-03 https://www.famitsu.com/news/202310/03319410.html",高,"パッチ6.5と同日"
2026-04-28,,"フリートライアル拡大：漆黒のヴィランズまで／Lv80",free_trial_change,FFXIV,"公式ニュース 2026-04-27 https://jp.finalfantasy.com/news/5992",高,"パッチ7.5と同日"
2021-12-17,2022-02-21,"フリートライアル 新規登録の一時停止（混雑対策）",free_trial_change,FFXIV,"4Gamer 2021-12-16／Famitsu 2022-02-22",中,"停止開始日は12/16の発表を受けた措置。開始日の厳密な時点は要確認"
2022-02-22,,"フリートライアル 新規登録 再開",free_trial_change,FFXIV,"Famitsu 2022-02-22 https://www.famitsu.com/news/202202/22252265.html",高,
2017-05-01,2017-06-15,"PS3版ユーザー向け 無料ログインキャンペーン（サービス終了まで）",free_login_campaign,FFXIV,"インサイド 2017-04-26 https://www.inside-games.jp/article/2017/04/26/106785.html",中,"PS3版限定。二次情報"
2017-12-01,2018-01-04,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"Lodestone https://jp.finalfantasyxiv.com/lodestone/topics/detail/ad2f949cb54c12612194bc6f83a6487253e41802",高,"12/1 20:00〜1/4 23:59"
2018-11-13,2018-12-23,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"Famitsu 2018-11-13 https://www.famitsu.com/news/201811/13167489.html",高,"11/13 17:00〜12/23 23:59"
2019-04-08,2019-06-17,"無料ログインキャンペーン（最大168時間）",free_login_campaign,FFXIV,"電撃オンライン 2019-04-08 https://dengekionline.com/elem/000/001/906/1906770/",高,"4/8 17:00〜6/17 23:59"
,2019-08-16,"無料ログインキャンペーン（漆黒発売後初・最大96時間）",free_login_campaign,FFXIV,"電撃オンライン 2019-08-10 https://dengekionline.com/articles/8857/",低,"終了日のみ判明。開始日 要確認"
2020-04-14,2020-05-17,"無料ログインキャンペーン（最大192時間）",free_login_campaign,FFXIV,"GAME Watch 2020-04-14 https://game.watch.impress.co.jp/docs/news/1247074.html",高,"4/14 17:00〜5/17 23:59。パッチ5.25記念"
2020-10-20,2020-11-23,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"電撃オンライン 2020-10-21 https://dengekionline.com/articles/54262/",高,"10/20 17:00〜11/23 23:59"
2021-02-17,2021-03-31,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"Famitsu 2021-02-17 https://www.famitsu.com/news/202102/17214577.html",高,"2/17 17:00〜3/31 23:59"
2021-07-09,2021-08-23,"無料ログインキャンペーン（最大14日間＝336時間）",free_login_campaign,FFXIV,"Famitsu 2021-07-09 https://www.famitsu.com/news/202107/09226624.html",高,"7/9 17:00〜8/23 23:59。当時の過去最長"
2022-06-15,2022-06-30,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"公式ニュース https://jp.finalfantasy.com/news/4053",高,"6/15 17:00〜6/30 23:59"
2022-11-18,2022-12-16,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"Famitsu 2022-11-19 https://www.famitsu.com/news/202211/19283474.html",高,"11/18 17:00〜12/16 23:59。暁月30%OFFセール（11/18〜11/28）併催"
2023-03-27,2023-05-08,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"Famitsu 2023-03-27 https://www.famitsu.com/news/202303/27297519.html",高,"3/27 17:00〜5/8 23:59"
2023-08-09,2023-08-31,"無料ログインキャンペーン（新生10周年・最大14日間）",free_login_campaign,FFXIV,"電撃オンライン 2023-08-09 https://dengekionline.com/articles/197516/",高,"8/9 17:00〜8/31 23:59"
2024-02-01,2024-02-21,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"公式ニュース https://jp.finalfantasy.com/news/4888",高,"2/1 17:00〜2/21 23:59"
2024-05-23,2024-06-20,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"公式ニュース https://jp.finalfantasy.com/news/5056",高,"5/23 17:00〜6/20 23:59"
2024-10-11,2024-10-31,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"公式ニュース https://jp.finalfantasy.com/news/5244",高,"10/11 17:00〜10/31 23:59"
2025-01-09,2025-02-06,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"公式ニュース https://jp.finalfantasy.com/news/5366",高,"1/9 17:00〜2/6 23:59"
2025-08-21,2025-09-23,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"公式ニュース https://jp.finalfantasy.com/news/5668",高,"8/21〜9/23 23:59。X フォロー＆リポスト企画併催"
2026-01-09,2026-02-09,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"公式ニュース https://jp.finalfantasy.com/news/5855",高,"1/9 17:00〜2/9 23:59"
2026-05-15,2026-06-14,"無料ログインキャンペーン（最大96時間）",free_login_campaign,FFXIV,"公式ニュース https://jp.finalfantasy.com/news/6011",高,"5/15 17:00〜6/14 23:59"
2014-04-01,,"消費税率改定（5%→8%）に伴う料金改定",price_change,FFXIV,"Lodestone 2014-03-03 https://jp.finalfantasyxiv.com/lodestone/topics/detail/6c63ce3fa19acd568e3973693e8f2a572c47dd7b",高,"スタンダード30日：1,554円→1,598円（税込）"
2019-10-01,,"消費税率改定（8%→10%）に伴う料金改定",price_change,FFXIV,"Lodestone https://na.finalfantasyxiv.com/lodestone/topics/detail/3685c2c284c184b2e54de81188f7bff15a7540bd",高,"併せてSteamウォレットでの自動継続を停止。改定後価格の具体額は画像掲載のため要確認"
2024-06-25,,"北米における州・地域売上税の適用開始（実質値上げ）",price_change,FFXIV,"PCGamesN 2024-05-25 https://www.pcgamesn.com/final-fantasy-xiv/payment-taxes",中,"対象は北米の一部州。月額本体価格の改定ではない。公式Lodestone一次ソース 要確認"
2016-10-14,2016-10-15,"ファンフェスティバル 2016 in Las Vegas",fanfest,FFXIV,"Lodestone https://jp.finalfantasyxiv.com/lodestone/topics/detail/2be4abf0b5463e41064a404321d94fec57bd7d9b",高,"現地時間。会場：Paris Las Vegas"
2016-12-24,2016-12-25,"ファンフェスティバル 2016 in TOKYO",fanfest,FFXIV,"Lodestone 同上／GAME Watch",高,"東京ビッグサイト 西3・4ホール"
2017-02-18,2017-02-19,"ファンフェスティバル 2017 in Frankfurt",fanfest,FFXIV,"Famitsu 2017-02-19 https://www.famitsu.com/news/201702/19127297.html",中,"現地時間。正確な2日間の日付は要確認"
2018-11-16,2018-11-17,"ファンフェスティバル 2018 in Las Vegas",fanfest,FFXIV,"Lodestone https://na.finalfantasyxiv.com/lodestone/topics/detail/e9e55f836dbb4aff799f2065c2924f843c0408bf",高,"現地時間。会場：Rio All-Suite Hotel。JST配信は11/17-18"
2019-02-02,2019-02-03,"ファンフェスティバル 2019 in Paris",fanfest,FFXIV,"Famitsu 2019-02-03 https://www.famitsu.com/news/201902/03171446.html",中,"現地時間。日付は要確認"
2019-03-23,2019-03-24,"ファンフェスティバル 2019 in TOKYO",fanfest,FFXIV,"Lodestone https://na.finalfantasyxiv.com/lodestone/topics/detail/e9e55f836dbb4aff799f2065c2924f843c0408bf",高,"幕張メッセ 4〜6ホール"
2021-05-15,2021-05-16,"デジタルファンフェスティバル 2021（オンライン・無観客）",fanfest,FFXIV,"Lodestone https://jp.finalfantasyxiv.com/lodestone/topics/detail/e5ff99f953f4d99be99583b96e2a97e20f75b0a6",高,"JST"
2023-07-28,2023-07-29,"ファンフェスティバル 2023 in Las Vegas",fanfest,FFXIV,"Famitsu 2022-10-08 https://www.famitsu.com/news/202210/08278742.html",高,"現地時間。Las Vegas Convention Center"
2023-10-21,2023-10-22,"ファンフェスティバル 2023 in London",fanfest,FFXIV,"Famitsu 2022-10-08 同上",高,"現地時間。ExCeL London"
2024-01-07,2024-01-08,"ファンフェスティバル 2024 in 東京",fanfest,FFXIV,"Lodestone https://na.finalfantasyxiv.com/lodestone/topics/detail/ce51017b36ba2da6e08c8699a178def4a1fe1451",高,"東京ドーム"
2026-04-24,2026-04-25,"ファンフェスティバル 2026（北米）",fanfest,FFXIV,"Famitsu 2025-08 https://www.famitsu.com/article/202508/50792",中,"現地時間。会場（アナハイム）は要確認。8.0基調講演を実施"
2026-07-25,2026-07-26,"ファンフェスティバル 2026 in Berlin",fanfest,FFXIV,"GAME Watch 2026-04-25 https://game.watch.impress.co.jp/docs/news/2104698.html",高,"現地時間"
2026-10-31,2026-11-01,"ファンフェスティバル 2026 in TOKYO",fanfest,FFXIV,"Famitsu 2025-08 https://www.famitsu.com/article/202508/50792",高,"幕張メッセ。分析窓外"
2017-05-17,,"北米データセンターを西海岸へ移設",world_change,FFXIV,"Lucky Bancho DC史 https://luckybancho.ldblog.jp/archives/56392508.html",中,"二次情報。公式一次ソース要確認"
2017-06-14,2017-06-19,"欧州DCにワールド新設／人口平準化施策開始（計66ワールド）",world_change,FFXIV,"Lucky Bancho DC史",中,"二次情報"
2019-04-02,,"欧州データセンター拡張・論理DC「Light」追加",world_change,FFXIV,"Lucky Bancho DC史",中,"二次情報"
2019-04-23,,"北米データセンター拡張・論理DC「Crystal」追加",world_change,FFXIV,"Lucky Bancho DC史",中,"二次情報。パッチ4.57と同日"
2019-06-18,,"欧州DCにワールド2つ新設（計68ワールド）",world_change,FFXIV,"Lucky Bancho DC史",中,"二次情報"
2022-01-25,,"オセアニアデータセンター「Materia」新設（5ワールド追加）",world_change,FFXIV,"Lodestone https://na.finalfantasyxiv.com/lodestone/topics/detail/0ca21606fa04ecf5c3e0cbca88935cbe4b0983a5",高,"2022-01-25 19:00頃オープン。Bismarck/Ravana/Sephirot/Sophia/Zurvan"
2022-07-05,,"日本DC第4論理DC「Meteor」新設・ワールドリグループ実施・DCトラベル解禁",world_change,FFXIV,"Famitsu 2022-07-05 https://www.famitsu.com/news/202207/05267454.html",高,"パッチ6.18と同日。欧州DCにも4ワールド新設"
2022-07-19,2022-08-03,"日本DC全キャラクター ホームワールド変更 無料化施策",world_change,FFXIV,"Lodestone https://na.finalfantasyxiv.com/lodestone/topics/detail/b7df06c62e85928fe79c465ece857cf8d836e00b",高,"7/19 16:00頃〜8/3 12:00頃"
2022-11-01,,"北米DCに論理DC「Dynamis」追加（4ワールド新設）",world_change,FFXIV,"Lucky Bancho DC史",中,"二次情報。パッチ6.28と同日"
2023-11-21,2023-11-28,"クラウドデータセンターテスト実施",world_change,FFXIV,"Lucky Bancho DC史",中,"二次情報"
2024-03-25,,"オセアニアDCへの片側データセンタートラベル開始",world_change,FFXIV,"Lucky Bancho DC史",中,"二次情報"
2024-05-01,,"欧州DC 論理DC「Shadow」新設 発表（Innocence/Pixie/Titania）",world_change,FFXIV,"Lucky Bancho DC史／FF14速報",低,"発表日。実際のオープン日は 要確認"
2024-06-11,,"北米DC Dynamis に4ワールド新設（計85ワールド）",world_change,FFXIV,"Lucky Bancho DC史",中,"二次情報"
2014-04-14,,"PlayStation 4版 サービス開始",platform,FFXIV,"ja.Wikipedia",中,"Lucky Bancho DC史は4/4表記。日付に不一致あり 要確認"
2015-06-23,,"Mac版 提供開始",platform,FFXIV,"週刊アスキー https://weekly.ascii.jp/elem/000/002/631/2631161/",高,"蒼天のイシュガルド発売と同日"
2017-06-15,,"PlayStation 3版 サービス終了",platform,FFXIV,"インサイド 2017-04-26 https://www.inside-games.jp/article/2017/04/26/106785.html",中,"紅蓮のリベレーター発売に伴う。分析窓の起点（2017-06-06）直後"
2021-04-13,,"PlayStation 5版 オープンベータテスト開始",platform,FFXIV,"Famitsu 2021-04-13 https://www.famitsu.com/news/202104/13217604.html",高,"パッチ5.5と同日"
2021-05-25,,"PlayStation 5版 正式サービス開始",platform,FFXIV,"consolegameswiki／各種報道",中,"パッチ5.55と同日。公式一次ソース要確認"
2024-02-21,,"Xbox Series X|S版 オープンベータテスト開始",platform,FFXIV,"Famitsu 2024-02-21 https://www.famitsu.com/news/202402/21335294.html",高,
2024-03-21,,"Xbox Series X|S版 正式サービス開始",platform,FFXIV,"gamebiz https://gamebiz.jp/news/382869 ／ASCII",高,
2026-08-04,,"Nintendo Switch 2版 サービス開始（19:00頃）",platform,FFXIV,"Famitsu 2026-08-04 https://www.famitsu.com/article/202608/83420",高,"JST。分析窓（〜2026-07-20）外。先行プレイの有無・日付は要確認"
